Year	Month	Anomaly
1806	3	-0.666
1806	4	-0.678
1806	5	0.301
1806	6	-2.452
1806	7	-1.621
1806	8	1.658
1806	9	2.415
1806	10	-1.375
1806	11	-1.184
1806	12	1.85
1807	1	-0.862
1807	2	3.723
1807	3	-0.342
1807	4	-2.486
1807	5	-2.867
1807	6	-0.531
1807	7	-0.579
1807	8	1.477
1807	9	0.246
1807	10	-1.061
1807	11	1.348
1807	12	1.955
1808	1	3.138
1808	2	-0.882
1808	3	-4.133
1808	4	-3.094
1808	5	-2.244
1808	6	0.628
1808	7	0.231
1808	8	0.117
1808	9	1.538
1808	10	0.81
1808	11	-1.301
1808	12	-6.162
1809	1	-7.619
1809	2	-2.493
1809	3	-5.885
1809	4	-3.245
1809	5	-2.348
1809	6	0.196
1809	7	-1.036
1809	8	0.213
1809	9	0.471
1809	10	-1.386
1809	11	-4.518
1809	12	0.662
1810	1	-0.028
1810	2	-0.38
1810	3	-2.098
1810	4	-4.476
1810	5	-3.906
1810	6	-3.126
1810	7	-1.694
1810	8	-1.222
1810	9	-1.595
1810	10	-2.797
1810	11	-3.641
1810	12	0.192
1811	1	-0.444
1811	2	-2.283
1811	3	1.767
1811	4	-3.47
1811	5	-0.928
1811	6	0.906
1811	7	-0.842
1811	8	-0.064
1811	9	-2.531
1811	10	-3.756
1811	11	-0.998
1811	12	1.348
1812	1	-0.826
1812	2	-1.327
1812	3	-1.717
1812	4	-2.548
1812	5	-2.716
1812	6	-1.068
1812	7	1.336
1812	8	2.847
1812	9	-3.026
1812	10	-0.271
1812	11	-2.939
1812	12	-8.727
1813	1	-6.708
1813	2	0.614
1813	3	-0.627
1813	4	0.551
1813	5	-1.079
1813	6	-1.57
1813	7	1.272
1813	8	-0.537
1813	9	1.261
1813	10	-2.346
1813	11	2.996
1813	12	-2.232
1814	1	-4.645
1814	2	-2.962
1814	3	-0.605
1814	4	-1.699
1814	5	-4.58
1814	6	-0.523
1814	7	0.425
1814	8	-0.141
1814	9	-1.081
1814	10	-3.244
1814	11	0.666
1814	12	2.062
1815	1	-1.483
1815	2	-1.006
1815	3	-0.608
1815	4	-1.914
1815	5	-2.074
1815	6	-2.167
1815	7	-1.865
1815	8	-0.139
1815	9	-0.752
1815	10	-1.21
1815	11	0.637
1815	12	-3.463
1816	1	2.346
1816	2	-4.835
1816	3	0.01
1816	4	-0.775
1816	5	-1.927
1816	6	-0.289
1816	7	-0.738
1816	8	-1.393
1816	9	0.08
1816	10	-2.416
1816	11	-0.086
1816	12	-1.085
1817	1	4.353
1817	2	3.713
1817	3	1.364
1817	4	-1.781
1817	5	-0.252
1817	6	-2.134
1817	7	0.067
1817	8	1.19
1817	9	-3.539
1817	10	-4.213
1817	11	-3.154
1817	12	-7.427
1818	1	2.739
1818	2	1.473
1818	3	2.498
1818	4	-0.398
1818	5	-1.804
1818	6	-0.873
1818	7	0.516
1818	8	-0.907
1818	9	-0.434
1818	10	-1.5
1818	11	-1.995
1818	12	0.183
1819	1	3.396
1819	2	-0.602
1819	3	-0.279
1819	4	-1.969
1819	5	-2.063
1819	6	0.88
1819	7	-0.806
1819	8	-0.28
1819	9	1.8
1819	10	1.285
1819	11	-2.834
1819	12	-7.669
1820	1	-4.905
1820	2	-2.483
1820	3	1.636
1820	4	1.157
1820	5	0.679
1820	6	-1.093
1820	7	-1.221
1820	8	-1.489
1820	9	-0.855
1820	10	0.472
1820	11	-0.625
1820	12	-3.614
1821	1	3.271
1821	2	-0.293
1821	3	-0.157
1821	4	0.609
1821	5	0.025
